sentence,polarity,aspects
"good smash burger, a little over fried french fries child-friendly with the ball sea on the 2nd floor",0.128125,"smash, burger, fry, ball, sea, 2nd, floor"
if i could die from a burger it would probably be from this place because it was so goooood.,0.0,burger
sweden's best burger !!!,1.0,"sweden, burger"
"their chicken burgers are so good, if i were a chicken i would accept death to be one.",0.2333333333333333,"chicken, burgers, chicken, death"
"among the best, hope you come to the south side soon.",1.0,side
oh oh oh,0.0,
"really delicious, feta, burgers",1.0,"feta, burgers"
can think that the fries are a bit too salty,0.0,fry
would probably say that rockin grill is top 3 in stockholm in terms of taste and price.,0.5,"rockin, grill, top, 3, stockholm, term, taste, price"
"ne ...

the burger just tastes like a peppery lump of dough",0.25,"ne, burger, taste, lump, dough"
the fries taste nothing.,0.0,"fry, taste, nothing"
"many burgers have been chewed over the years and it has been thought that this one will taste just as good,",0.6,"burgers, years, taste, good"
in its own way,0.0,
"this burger took the damn prize as one of the best!

sickly good balance between juicy and crispy meat, sauce that did not take over the taste too much and a bread that held everything together well!
note: jawed the prince :)",0.6125,"burger, take, damn, prize, balance, meat, sauce, taste, bread, hold, note, jaw, prince"
great breakfast spot!!!,1.0,"breakfast, spot"
"a really good burger, good fries and a champis",0.7,"burger, fry, champis"
what more could you want? highly recommended !!,1.0,
"awesome burgers, nice decor
good dipping sauces nice environment to cook burgers on",0.725,"burgers, decor, dip, sauce, environment, cook, burgers"
very good smashed burgers with very tasty milkshakes and accessories,0.6,"smash, burgers, milkshakes, accessories"
really good burger at a good price,0.7,"burger, price"
easily one of the best places in stockholm,0.7166666666666667,"place, stockholm"
"first off, let's be clear",0.17500000000000002,
i know burgers and so does the rockin grill,0.0,"know, burgers, grill"
multiple patties fried upon a soft bun and all of the cheese you could need,0.05,"patties, bun, cheese"
"i went for the bbq burger ""the general"" and it was complemented with golden brown fries that were excellently salted and contrasted nicely against the burger's bbq sauce.

i had two minor greivances",0.38,"bbq, burger, complement, fry, contrast, burger, bbq, sauce, greivances"
"i had a hard time hearing the orders being called out while i was upstairs, however, it features a ball pit! secondly, i would have really liked id they served beers,",0.07847222222222221,"time, order, call, upstairs, feature, ball, pit, id, beers"
"hey, a classic coke works just fine.

long story short, definitely worth the trip.",0.16666666666666666,"coke, work, story, trip"
very nice staff and especially the asian young guy! very affordable and good!,0.4,"staff, guy, good"
"i have eaten at almost all burger places in stockholm, and the burgers at the rocking grill are easily top 3 if not the best",0.0,"burger, place, stockholm, burgers, grill"
"the crust on the smashed pattys is amaaazing, you have to try this",0.0,"crust, smash, pattys"
the prices are really good as well.,0.7,price
"the burgers were really good, good surface and well seasoned, the bread held together all the way and was really good",0.6999999999999998,"burgers, surface, well, season, bread, hold"
they were insanely cold in the room and not particularly cozy,-0.4,room
"that, they get a stable 4/5 in rating",0.0,rat
excellent food and great staff (very snälla),0.9,"food, staff, snälla"
sickly good burger! will be more visits soon.,0.875,burger
definitely sthlm best burger,0.5,burger
juicy meat and bread and accessories .....,0.0,"meat, bread, accessories"
should have more.,0.0,
really good burger,0.7,burger
located a bit off,0.0,
worth a visit.,0.3,visit
have never encountered more uninvolved staff.,-0.5,staff
fantastically good burgers and friendly staff,0.5375,"burgers, staff"
not very good about the place so be there early,-0.12499999999999999,place
on the other hand it is so good that it may be worth the wait 😋,0.5,hand
best burgers in town! ❤,1.0,"burgers, town"
"sizes: 5/5
staff: 4/5
venue: 4/5
price: 5/5 good prices",0.7,"size, staff, venue, price, price"
good burgers in stock!!,1.0,"burgers, stock"
"really good burger, the accessories were good and had a real heat.

do you want to see a picture of the burger (@oiexperimenting on instagram)",0.5333333333333333,"burger, accessories, heat, picture, burger, instagram"
good for burger lovers,0.7,"burger, lovers"
best burger !!!,1.0,burger
"as good as ever

always high quality nice place",0.49,"quality, place"
"i say thank you for today and we will be back
👌👌👌",0.0,"thank, today"
used to be good,0.7,
recently the quality has dipped,0.5,"quality, dip"
this used to be a 5 star place! what happened to the deep pan pizza that were actually deep pan? kept coming back in the hope i was watching them on an off day,0.0,"star, place, pan, pizza, hope, watch, day"
"in addition, my past 2 uber eats orders have been totally incorrect and arrived cold",-0.2833333333333333,"addition, uber, order"
the burgers are very good 4/5,0.7,burgers
what lowers the rating is their regular fries,0.0,"rat, fry"
"i think i have never eaten such bad fries before, tough, hard and lukewarm 1/5",-0.47013888888888883,fry
"sweet potato fries were slightly better 2.5, a little burnt and lukewarm dom with",0.22083333333333333,"potato, fry, dom"
do not know if they are in any heating cabinet given the poor quality,0.04999999999999999,"heat, cabinet, quality"
the burger is definitely worth the money 👍,0.3,"burger, money"
"extremely friendly staff, family restaurant with good food",0.5375,"staff, family, restaurant, food"
always just as charming to eat there.,0.0,charm
aggressive staff !! shouts at you when you ask when the food is ready and unpleasant when you have to order,-0.22499999999999995,"staff, food, order"
judges one because of one's order.,0.0,"judge, one, order"
